Entry,Entry name,Status,Protein names,Gene names,Organism,Length,Features,Annotation
Q86VY9,T200A_HUMAN,reviewed,Transmembrane protein 200A,TMEM200A KIAA1913 HBE61,Homo sapiens (Human),491,Chain (1); Erroneous initiation (1); Glycosylation (1); Modified residue (1); Topological domain (3); Transmembrane (2),3 out of 5
Q9NYW4,TA2R5_HUMAN,reviewed,Taste receptor type 2 member 5 (T2R5),TAS2R5,Homo sapiens (Human),299,Chain (1); Glycosylation (1); Natural variant (6); Topological domain (8); Transmembrane (7),5 out of 5
Q9NYW1,TA2R9_HUMAN,reviewed,Taste receptor type 2 member 9 (T2R9) (Taste receptor family B member 6) (TRB6),TAS2R9,Homo sapiens (Human),312,Chain (1); Glycosylation (1); Natural variant (3); Topological domain (8); Transmembrane (7),4 out of 5
H3BV60,TGR3L_HUMAN,reviewed,Transforming growth factor-beta receptor type 3-like protein (TGF-beta receptor type-3-like protein) (TGFR-3L) (Transforming growth factor-beta receptor type III-like protein) (TGF-beta receptor type III-like protein),TGFBR3L,Homo sapiens (Human),316,Chain (1); Compositional bias (1); Disulfide bond (1); Domain (1); Sequence conflict (1); Topological domain (2); Transmembrane (1),3 out of 5
A0A0U1RQS6,TM275_HUMAN,reviewed,Transmembrane protein 275,TMEM275,Homo sapiens (Human),177,Chain (1); Transmembrane (2),1 out of 5
Q6GV28,TM225_HUMAN,reviewed,Transmembrane protein 225,TMEM225 PMP22CD,Homo sapiens (Human),225,Chain (1); Motif (1); Natural variant (2); Topological domain (5); Transmembrane (4),3 out of 5
Q8IU68,TMC8_HUMAN,reviewed,Transmembrane channel-like protein 8 (Epidermodysplasia verruciformis protein 2),TMC8 EVER2 EVIN2,Homo sapiens (Human),726,Alternative sequence (1); Chain (1); Erroneous initiation (1); Glycosylation (2); Modified residue (3); Natural variant (3); Sequence caution (1); Sequence conflict (1); Topological domain (9); Transmembrane (8),5 out of 5
Q6UX40,TM107_HUMAN,reviewed,Transmembrane protein 107,TMEM107 DC20 UNQ638/PRO1268,Homo sapiens (Human),140,Alternative sequence (4); Chain (1); Frameshift (1); Glycosylation (1); Natural variant (2); Transmembrane (4),5 out of 5
A0A1B0GTI8,TM272_HUMAN,reviewed,Transmembrane protein 272,TMEM272,Homo sapiens (Human),187,Alternative sequence (1); Chain (1); Transmembrane (4),2 out of 5
Q9P0N5,TM216_HUMAN,reviewed,Transmembrane protein 216,TMEM216 HSPC244,Homo sapiens (Human),145,Alternative sequence (2); Chain (1); Natural variant (6); Sequence conflict (6); Transmembrane (4),5 out of 5
O60235,TM11D_HUMAN,reviewed,Transmembrane protease serine 11D (EC 3.4.21.-) (Airway trypsin-like protease) [Cleaved into: Transmembrane protease serine 11D non-catalytic chain; Transmembrane protease serine 11D catalytic chain],TMPRSS11D HAT,Homo sapiens (Human),418,Active site (3); Chain (2); Disulfide bond (4); Domain (2); Glycosylation (1); Topological domain (2); Transmembrane (1),5 out of 5
Q86V40,TIKI1_HUMAN,reviewed,Metalloprotease TIKI1 (EC 3.4.-.-) (TRAB domain-containing protein 2A),TRABD2A C2orf89 TIKI1,Homo sapiens (Human),505,Alternative sequence (1); Chain (1); Erroneous initiation (1); Glycosylation (4); Natural variant (3); Sequence conflict (1); Signal peptide (1); Topological domain (2); Transmembrane (1),5 out of 5
Q96I45,TM141_HUMAN,reviewed,Transmembrane protein 141,TMEM141,Homo sapiens (Human),108,Beta strand (2); Chain (1); Helix (5); Transmembrane (2),2 out of 5
Q7RTY8,TMPS7_HUMAN,reviewed,Transmembrane protease serine 7 (EC 3.4.21.-) (Matriptase-3),TMPRSS7,Homo sapiens (Human),843,Active site (3); Alternative sequence (4); Chain (1); Disulfide bond (14); Domain (7); Sequence conflict (2); Topological domain (2); Transmembrane (1),4 out of 5
A6NDV4,TMM8B_HUMAN,reviewed,Transmembrane protein 8B (Nasopharyngeal carcinoma-associated gene 6 protein) (Protein NAG-5) (Protein NGX6),TMEM8B C9orf127 NGX6,Homo sapiens (Human),472,Alternative sequence (4); Chain (1); Disulfide bond (3); Domain (1); Erroneous initiation (2); Glycosylation (2); Sequence caution (1); Sequence conflict (1); Topological domain (8); Transmembrane (7),5 out of 5
Q8N0U2,TMM61_HUMAN,reviewed,Transmembrane protein 61,TMEM61,Homo sapiens (Human),210,Chain (1); Natural variant (1); Transmembrane (2),2 out of 5
Q7RTT9,S29A4_HUMAN,reviewed,Equilibrative nucleoside transporter 4 (hENT4) (Plasma membrane monoamine transporter) (Solute carrier family 29 member 4),SLC29A4 ENT4 PMAT PSEC0113,Homo sapiens (Human),530,Alternative sequence (1); Chain (1); Erroneous initiation (1); Glycosylation (1); Mutagenesis (17); Natural variant (3); Sequence conflict (5); Topological domain (11); Transmembrane (10),5 out of 5
Q99808,S29A1_HUMAN,reviewed,"Equilibrative nucleoside transporter 1 (Equilibrative nitrobenzylmercaptopurine riboside-sensitive nucleoside transporter) (Equilibrative NBMPR-sensitive nucleoside transporter) (Nucleoside transporter, es-type) (Solute carrier family 29 member 1)",SLC29A1 ENT1,Homo sapiens (Human),456,Alternative sequence (1); Beta strand (2); Chain (1); Glycosylation (1); Helix (22); Initiator methionine (1); Modified residue (3); Mutagenesis (2); Natural variant (4); Topological domain (12); Transmembrane (11); Turn (2),5 out of 5
Q9C0C4,SEM4C_HUMAN,reviewed,Semaphorin-4C,SEMA4C KIAA1739 SEMAI UNQ5855/PRO34487,Homo sapiens (Human),833,Beta strand (2); Chain (1); Compositional bias (1); Disulfide bond (6); Domain (3); Glycosylation (6); Modified residue (1); Motif (1); Region (1); Sequence conflict (1); Signal peptide (1); Topological domain (2); Transmembrane (1),5 out of 5
Q6UWV7,SHL2A_HUMAN,reviewed,Protein shisa-like-2A,SHISAL2A FAM159A UNQ2783/PRO7171,Homo sapiens (Human),190,Alternative sequence (1); Chain (1); Erroneous initiation (1); Transmembrane (2),3 out of 5
P30872,SSR1_HUMAN,reviewed,Somatostatin receptor type 1 (SS-1-R) (SS1-R) (SS1R) (SRIF-2),SSTR1,Homo sapiens (Human),391,Chain (1); Disulfide bond (1); Glycosylation (3); Lipidation (1); Topological domain (8); Transmembrane (7),5 out of 5
A0PJW6,TM223_HUMAN,reviewed,Transmembrane protein 223,TMEM223,Homo sapiens (Human),202,Chain (1); Erroneous initiation (1); Natural variant (2); Sequence conflict (1); Transmembrane (2),2 out of 5
A6NFC5,TM235_HUMAN,reviewed,Transmembrane protein 235,TMEM235,Homo sapiens (Human),223,Alternative sequence (2); Chain (1); Erroneous gene model prediction (1); Glycosylation (1); Signal peptide (1); Transmembrane (3),3 out of 5
Q5VZI3,TM268_HUMAN,reviewed,Transmembrane protein 268,TMEM268 C9orf91,Homo sapiens (Human),342,Alternative sequence (2); Chain (1); Erroneous initiation (1); Sequence conflict (1); Transmembrane (2),2 out of 5
Q9NWD8,TM248_HUMAN,reviewed,Transmembrane protein 248,TMEM248 C7orf42,Homo sapiens (Human),314,Alternative sequence (2); Chain (1); Sequence conflict (1); Transmembrane (4),5 out of 5
Q24JQ0,TM241_HUMAN,reviewed,Transmembrane protein 241,TMEM241 C18orf45,Homo sapiens (Human),296,Alternative sequence (5); Chain (1); Natural variant (1); Transmembrane (10),3 out of 5
P0DPE3,TMDD1_HUMAN,reviewed,Transmembrane and death domain protein 1,TMDD1 C12orf81,Homo sapiens (Human),317,Chain (1); Domain (1); Glycosylation (1); Signal peptide (1); Topological domain (2); Transmembrane (1),2 out of 5
Q12893,TM115_HUMAN,reviewed,Transmembrane protein 115 (Placental protein 6) (Protein PL6),TMEM115 PL6 LUCA11.2,Homo sapiens (Human),351,Chain (1); Erroneous gene model prediction (1); Modified residue (1); Region (2); Topological domain (5); Transmembrane (4),5 out of 5
Q9BTD3,TM121_HUMAN,reviewed,Transmembrane protein 121,TMEM121 HHOLE,Homo sapiens (Human),319,Chain (1); Compositional bias (1); Transmembrane (7),5 out of 5
Q9BZW4,TM6S2_HUMAN,reviewed,Transmembrane 6 superfamily member 2,TM6SF2,Homo sapiens (Human),377,Alternative sequence (1); Chain (1); Domain (2); Natural variant (1); Transmembrane (9),5 out of 5
P48023,TNFL6_HUMAN,reviewed,"Tumor necrosis factor ligand superfamily member 6 (Apoptosis antigen ligand) (APTL) (CD95 ligand) (CD95-L) (Fas antigen ligand) (Fas ligand) (FasL) (CD antigen CD178) [Cleaved into: Tumor necrosis factor ligand superfamily member 6, membrane form; Tumor necrosis factor ligand superfamily member 6, soluble form (Receptor-binding FasL ectodomain) (Soluble Fas ligand) (sFasL); ADAM10-processed FasL form (APL); FasL intracellular domain (FasL ICD) (SPPL2A-processed FasL form) (SPA)]",FASLG APT1LG1 CD95L FASL TNFSF6,Homo sapiens (Human),281,Alternative sequence (2); Beta strand (12); Chain (4); Compositional bias (2); Disulfide bond (1); Glycosylation (3); Helix (2); Mutagenesis (3); Natural variant (2); Site (2); Topological domain (2); Transmembrane (1); Turn (1),5 out of 5
Q9NX00,TM160_HUMAN,reviewed,Transmembrane protein 160,TMEM160,Homo sapiens (Human),188,Chain (1); Modified residue (1); Natural variant (1); Transmembrane (3),2 out of 5
O60603,TLR2_HUMAN,reviewed,Toll-like receptor 2 (EC 3.2.2.6) (Toll/interleukin-1 receptor-like protein 4) (CD antigen CD282),TLR2 TIL4,Homo sapiens (Human),784,Active site (1); Beta strand (33); Chain (1); Cross-link (1); Disulfide bond (3); Domain (2); Glycosylation (4); Helix (24); Motif (1); Mutagenesis (10); Natural variant (9); Repeat (19); Sequence conflict (3); Signal peptide (1); Site (1); Topological domain (2); Transmembrane (1); Turn (10),5 out of 5
Q9C0B7,TNG6_HUMAN,reviewed,Transport and Golgi organization protein 6 homolog (Transmembrane and coiled-coil domain-containing protein 7),TANGO6 KIAA1746 TMCO7,Homo sapiens (Human),1094,Chain (1); Erroneous initiation (2); Modified residue (1); Repeat (2); Transmembrane (1),3 out of 5
Q9H2S6,TNMD_HUMAN,reviewed,Tenomodulin (TeM) (hTeM) (Chondromodulin-1-like protein) (ChM1L) (hChM1L) (Chondromodulin-I-like protein) (Myodulin) (Tendin),TNMD CHM1L UNQ771/PRO1565,Homo sapiens (Human),317,Alternative sequence (3); Chain (1); Disulfide bond (1); Domain (1); Glycosylation (2); Modified residue (1); Sequence conflict (2); Topological domain (2); Transmembrane (1),5 out of 5
Q9H3N1,TMX1_HUMAN,reviewed,Thioredoxin-related transmembrane protein 1 (Thioredoxin domain-containing protein 1) (Transmembrane Trx-related protein),TMX1 TMX TXNDC TXNDC1 PSEC0085 UNQ235/PRO268,Homo sapiens (Human),280,Beta strand (5); Chain (1); Disulfide bond (1); Domain (1); Helix (6); Modified residue (5); Mutagenesis (2); Sequence conflict (3); Signal peptide (1); Topological domain (2); Transmembrane (1); Turn (2),5 out of 5
Q6YI46,TMM64_HUMAN,reviewed,Transmembrane protein 64,TMEM64,Homo sapiens (Human),380,Alternative sequence (4); Chain (1); Erroneous initiation (2); Region (1); Sequence conflict (2); Transmembrane (6),4 out of 5
O95292,VAPB_HUMAN,reviewed,Vesicle-associated membrane protein-associated protein B/C (VAMP-B/VAMP-C) (VAMP-associated protein B/C) (VAP-B/VAP-C),VAPB UNQ484/PRO983,Homo sapiens (Human),243,Alternative sequence (2); Beta strand (9); Chain (1); Coiled coil (1); Cross-link (1); Domain (1); Initiator methionine (1); Modified residue (8); Mutagenesis (2); Natural variant (2); Sequence conflict (4); Topological domain (1); Transmembrane (1); Turn (4),5 out of 5
Q92536,YLAT2_HUMAN,reviewed,"Y+L amino acid transporter 2 (Cationic amino acid transporter, y+ system) (Solute carrier family 7 member 6) (y(+)L-type amino acid transporter 2) (Y+LAT2) (y+LAT-2)",SLC7A6 KIAA0245,Homo sapiens (Human),515,Chain (1); Erroneous initiation (1); Modified residue (1); Sequence conflict (2); Topological domain (13); Transmembrane (12),5 out of 5
O76082,S22A5_HUMAN,reviewed,Solute carrier family 22 member 5 (High-affinity sodium-dependent carnitine cotransporter) (Organic cation/carnitine transporter 2),SLC22A5 OCTN2,Homo sapiens (Human),557,Alternative sequence (3); Chain (1); Glycosylation (3); Modified residue (2); Mutagenesis (1); Natural variant (111); Nucleotide binding (1); Sequence conflict (1); Topological domain (12); Transmembrane (12),5 out of 5
Q969I6,S38A4_HUMAN,reviewed,Sodium-coupled neutral amino acid transporter 4 (Amino acid transporter A3) (Na(+)-coupled neutral amino acid transporter 4) (Solute carrier family 38 member 4) (System A amino acid transporter 3) (System N amino acid transporter 3),SLC38A4 ATA3 NAT3 SNAT4,Homo sapiens (Human),547,Chain (1); Disulfide bond (1); Glycosylation (3); Modified residue (1); Natural variant (3); Topological domain (11); Transmembrane (10),5 out of 5
Q9NRQ5,SMCO4_HUMAN,reviewed,Single-pass membrane and coiled-coil domain-containing protein 4 (Protein FN5),SMCO4 C11orf75 FN5,Homo sapiens (Human),59,Chain (1); Coiled coil (1); Transmembrane (1),5 out of 5
Q92187,SIA8D_HUMAN,reviewed,"CMP-N-acetylneuraminate-poly-alpha-2,8-sialyltransferase (EC 2.4.99.-) (Alpha-2,8-sialyltransferase 8D) (Polysialyltransferase-1) (Sialyltransferase 8D) (SIAT8-D) (Sialyltransferase St8Sia IV) (ST8SiaIV)",ST8SIA4 PST PST1 SIAT8D,Homo sapiens (Human),359,Active site (1); Alternative sequence (1); Beta strand (1); Binding site (1); Chain (1); Disulfide bond (2); Glycosylation (5); Helix (2); Natural variant (2); Region (3); Topological domain (2); Transmembrane (1),5 out of 5
Q9BXA5,SUCR1_HUMAN,reviewed,Succinate receptor 1 (G-protein coupled receptor 91) (P2Y purinoceptor 1-like),SUCNR1 GPR91,Homo sapiens (Human),334,Chain (1); Disulfide bond (1); Erroneous initiation (1); Glycosylation (2); Mutagenesis (7); Topological domain (8); Transmembrane (7),5 out of 5
Q6N022,TEN4_HUMAN,reviewed,Teneurin-4 (Ten-4) (Protein Odd Oz/ten-m homolog 4) (Tenascin-M4) (Ten-m4) (Teneurin transmembrane protein 4),TENM4 KIAA1302 ODZ4 TNM4,Homo sapiens (Human),2769,Chain (1); Compositional bias (1); Disulfide bond (22); Domain (9); Erroneous initiation (1); Glycosylation (12); Modified residue (2); Natural variant (14); Repeat (28); Sequence conflict (8); Topological domain (2); Transmembrane (1),5 out of 5
A2RRL7,TM213_HUMAN,reviewed,Transmembrane protein 213,TMEM213,Homo sapiens (Human),107,Alternative sequence (3); Chain (1); Erroneous initiation (1); Signal peptide (1); Topological domain (2); Transmembrane (1),3 out of 5
Q99595,TI17A_HUMAN,reviewed,Mitochondrial import inner membrane translocase subunit Tim17-A (Inner membrane preprotein translocase Tim17a),TIMM17A MIMT17 TIM17 TIM17A TIMM17,Homo sapiens (Human),171,Chain (1); Disulfide bond (1); Natural variant (1); Transmembrane (3),5 out of 5
Q9UL52,TM11E_HUMAN,reviewed,Transmembrane protease serine 11E (EC 3.4.21.-) (Serine protease DESC1) (Transmembrane protease serine 11E2) [Cleaved into: Transmembrane protease serine 11E non-catalytic chain; Transmembrane protease serine 11E catalytic chain],TMPRSS11E DESC1 TMPRSS11E2 UNQ742/PRO1461,Homo sapiens (Human),423,Active site (3); Beta strand (15); Chain (2); Disulfide bond (4); Domain (2); Glycosylation (3); Helix (5); Natural variant (1); Sequence conflict (1); Topological domain (2); Transmembrane (1); Turn (1),5 out of 5
Q8NCS4,TM35B_HUMAN,reviewed,Transmembrane protein 35B (ZMYM6 neighbor protein),TMEM35B ZMYM6NB,Homo sapiens (Human),154,Chain (1); Signal peptide (1); Transmembrane (3),2 out of 5
Q9Y584,TIM22_HUMAN,reviewed,Mitochondrial import inner membrane translocase subunit Tim22 (Testis-expressed protein 4),TIMM22 TEX4 TIM22,Homo sapiens (Human),194,Chain (1); Disulfide bond (2); Sequence conflict (5); Transmembrane (3),5 out of 5
Q9P0U1,TOM7_HUMAN,reviewed,Mitochondrial import receptor subunit TOM7 homolog (Translocase of outer membrane 7 kDa subunit homolog),TOMM7 TOM7 TOMM07 AD-014,Homo sapiens (Human),55,Chain (1); Sequence conflict (1); Topological domain (2); Transmembrane (1),5 out of 5
Q9HC21,TPC_HUMAN,reviewed,Mitochondrial thiamine pyrophosphate carrier (Mitochondrial uncoupling protein 1) (Solute carrier family 25 member 19),SLC25A19 DNC MUP1,Homo sapiens (Human),320,Alternative sequence (1); Chain (1); Modified residue (1); Motif (1); Natural variant (2); Repeat (3); Sequence conflict (1); Transmembrane (6),5 out of 5
Q9BX59,TPSNR_HUMAN,reviewed,Tapasin-related protein (TAPASIN-R) (TAP-binding protein-like) (TAP-binding protein-related protein) (TAPBP-R) (Tapasin-like),TAPBPL,Homo sapiens (Human),468,Alternative sequence (8); Beta strand (21); Chain (1); Disulfide bond (2); Domain (2); Helix (1); Natural variant (6); Signal peptide (1); Topological domain (2); Transmembrane (1); Turn (1),5 out of 5
Q7RTX1,TS1R1_HUMAN,reviewed,Taste receptor type 1 member 1 (G-protein coupled receptor 70),TAS1R1 GPR70 T1R1 TR1 GM148,Homo sapiens (Human),841,Alternative sequence (4); Chain (1); Erroneous gene model prediction (1); Erroneous initiation (3); Frameshift (1); Glycosylation (6); Natural variant (3); Sequence conflict (2); Signal peptide (1); Topological domain (8); Transmembrane (7),5 out of 5
O75841,UPK1B_HUMAN,reviewed,Uroplakin-1b (UP1b) (Tetraspanin-20) (Tspan-20) (Uroplakin Ib) (UPIb),UPK1B TSPAN20,Homo sapiens (Human),260,Chain (1); Natural variant (1); Sequence conflict (1); Topological domain (5); Transmembrane (4),5 out of 5
B0FP48,UPK3L_HUMAN,reviewed,Uroplakin-3b-like protein 1,UPK3BL1 UPLP,Homo sapiens (Human),263,Chain (1); Glycosylation (3); Signal peptide (1); Topological domain (2); Transmembrane (1),2 out of 5
Q9H7M9,VISTA_HUMAN,reviewed,V-type immunoglobulin domain-containing suppressor of T-cell activation (Platelet receptor Gi24) (Stress-induced secreted protein-1) (Sisp-1) (V-set domain-containing immunoregulatory receptor) (V-set immunoregulatory receptor),VSIR C10orf54 SISP1 VISTA PP2135 UNQ730/PRO1412,Homo sapiens (Human),311,Beta strand (12); Chain (1); Disulfide bond (1); Domain (1); Erroneous initiation (1); Erroneous termination (1); Glycosylation (3); Helix (2); Modified residue (2); Natural variant (1); Sequence caution (1); Sequence conflict (2); Signal peptide (1); Topological domain (2); Transmembrane (1); Turn (2),5 out of 5
Q5GH77,XKR3_HUMAN,reviewed,XK-related protein 3 (X Kell blood group-related 3) (XTES),XKR3 XRG3,Homo sapiens (Human),459,Chain (1); Natural variant (4); Transmembrane (10),3 out of 5
Q969W1,ZDH16_HUMAN,reviewed,Palmitoyltransferase ZDHHC16 (EC 2.3.1.225) (Abl-philin 2) (Zinc finger DHHC domain-containing protein 16) (DHHC-16),ZDHHC16 APH2 UNQ2570/PRO6258,Homo sapiens (Human),377,Active site (1); Alternative sequence (3); Chain (1); Domain (1); Topological domain (5); Transmembrane (4),5 out of 5
P0DTE0,T2R36_HUMAN,reviewed,Putative taste receptor type 2 member 36 (T2R36) (hGR36),TAS2R36,Homo sapiens (Human),309,Chain (1); Glycosylation (2); Topological domain (8); Transmembrane (7),2 out of 5
Q8IUX1,T126B_HUMAN,reviewed,"Complex I assembly factor TMEM126B, mitochondrial (Transmembrane protein 126B)",TMEM126B HT007,Homo sapiens (Human),230,Alternative sequence (6); Chain (1); Frameshift (1); Initiator methionine (1); Modified residue (1); Natural variant (3); Transmembrane (4),5 out of 5
Q9NX61,T161A_HUMAN,reviewed,Transmembrane protein 161A (Adaptive response to oxidative stress protein 29) (AROS-29),TMEM161A UNQ582/PRO1152,Homo sapiens (Human),479,Alternative sequence (1); Chain (1); Glycosylation (1); Modified residue (1); Natural variant (1); Sequence conflict (1); Signal peptide (1); Topological domain (9); Transmembrane (8),5 out of 5
